Image.x	Image.y	Arr.colx	Arr.rowy	Spot.colx	Spot.rowy	SpotFlag	RefFore	RefBack	DapiFore	DapiBack	LogRatio	Chromosome	PosOrder	ScaledLogRatio
979	117	4	1	19	10	0	925	396	8082	866	1.388	10	1352	0.365
990	117	4	1	20	10	0	961	391	8311	855	1.41	10	1352	0.387
1001	117	4	1	21	10	0	925	401	8095	834	1.422	10	1352	0.399
787	881	4	4	2	11	0	1534	403	7010	888	1.068	10	1323	0.045
798	882	4	4	3	11	0	1457	399	6496	874	1.038	10	1323	0.015
776	881	4	4	1	11	0	1455	393	6642	863	1.059	10	1323	0.036
855	641	4	3	8	12	0	1053	398	4466	871	1.039	10	1334	0.016
844	641	4	3	7	12	0	1041	403	4577	864	1.061	10	1334	0.038
866	641	4	3	9	12	0	1042	394	4389	875	1.034	10	1334	0.011
669	180	3	1	14	16	0	2007	403	7172	798	1.015	10	1339	-0.008
658	180	3	1	13	16	0	1954	402	6968	811	0.997	10	1339	-0.026
680	180	3	1	15	16	0	1994	407	6905	787	0.987	10	1339	-0.036
935	182	4	1	15	16	0	1526	394	7098	749	0.983	10	1353	-0.04
924	182	4	1	14	16	0	1472	391	7063	767	0.979	10	1353	-0.044
913	182	4	1	13	16	0	1527	404	7298	778	1.005	10	1353	-0.018
186	727	1	3	16	20	0	1420	383	8095	775	1.067	10	1322	0.044
208	727	1	3	18	20	0	1436	392	7811	732	1.061	10	1322	0.038
197	727	1	3	17	20	0	1444	394	8115	754	1.074	10	1322	0.051
399	980	2	4	13	20	0	1881	391	7662	636	0.995	10	1335	-0.028
421	980	2	4	15	20	0	1848	395	7888	666	1.018	10	1335	-0.005
410	980	2	4	14	20	0	1788	397	7910	648	1.004	10	1335	-0.019
882	17	4	1	10	1	0	1402	415	7638	1031	1.032	10	1330	0.009
893	17	4	1	11	1	0	1296	405	7793	1017	1.155	10	1330	0.132
903	17	4	1	12	1	0	1244	413	7243	999	1.189	10	1330	0.166
424	16	2	1	15	1	0	1644	431	8887	1102	0.908	10	1347	-0.115
413	16	2	1	14	1	0	1674	442	9147	1124	0.93	10	1347	-0.093
402	16	2	1	13	1	0	1725	440	9430	1088	0.906	10	1347	-0.117
659	16	3	1	13	1	0	1561	435	9600	1023	0.893	10	1350	-0.13
671	16	3	1	14	1	0	1685	429	11495	1032	0.891	10	1350	-0.132
682	16	3	1	15	1	0	1544	417	10862	846	0.901	10	1350	-0.122
594	266	3	2	7	1	0	2269	404	7796	1052	1.083	10	1338	0.06
616	267	3	2	9	1	0	2165	397	6920	1074	1.037	10	1338	0.014
606	266	3	2	8	1	0	2240	410	7406	1066	1.065	10	1338	0.042
370	267	2	2	10	1	0	2632	406	7996	866	1.023	10	1361	0
392	268	2	2	12	1	0	2480	407	7382	835	1.024	10	1361	0.001
381	267	2	2	11	1	0	2679	404	8167	833	1.044	10	1361	0.021
885	773	4	4	11	1	0	2324	394	7633	745	1.045	10	1333	0.022
874	773	4	4	10	1	0	2267	397	7459	754	1.043	10	1333	0.02
896	773	4	4	12	1	0	2201	414	6938	730	1.048	10	1333	0.025
422	773	2	4	15	1	0	1485	398	7335	715	1.023	10	1348	0
411	773	2	4	14	1	0	1577	391	7785	714	1.002	10	1348	-0.021
400	773	2	4	13	1	0	1570	389	7884	712	0.995	10	1348	-0.028
679	772	3	4	15	1	0	1378	413	6840	821	1.026	10	1351	0.003
657	772	3	4	13	1	0	1252	389	6247	805	1.002	10	1351	-0.021
668	772	3	4	14	1	0	1255	391	6276	816	1.005	10	1351	-0.018
681	27	3	1	15	2	0	1011	422	2453	938	0.928	10	1337	-0.095
670	27	3	1	14	2	0	1006	417	2457	950	0.929	10	1337	-0.094
660	27	3	1	13	2	0	1035	426	2508	954	0.921	10	1337	-0.102
435	28	2	1	16	2	0	448	440	1122	995	NA	10	1363	NA
445	28	2	1	17	2	0	441	438	1033	973	NA	10	1363	NA
455	28	2	1	18	2	0	452	439	1132	966	NA	10	1363	NA
943	533	4	3	16	2	0	1600	404	5933	751	1.013	10	1336	-0.01
954	533	4	3	17	2	0	1556	398	5892	755	1.008	10	1336	-0.015
964	533	4	3	18	2	0	1523	398	5746	751	1.004	10	1336	-0.019
478	532	2	3	20	2	0	1574	395	6797	890	0.958	10	1359	-0.065
467	532	2	3	19	2	0	1547	396	6684	877	0.962	10	1359	-0.061
489	532	2	3	21	2	0	1537	392	6558	900	0.961	10	1359	-0.062
744	533	3	3	21	2	0	2357	395	8280	755	1.031	10	1357	0.008
722	533	3	3	19	2	0	2456	402	8979	795	1.04	10	1357	0.017
733	533	3	3	20	2	0	2391	401	8712	777	1.035	10	1357	0.012
657	783	3	4	13	2	0	1664	404	5484	848	1.138	10	1340	0.115
679	783	3	4	15	2	0	1826	412	5809	839	1.133	10	1340	0.11
668	783	3	4	14	2	0	1764	392	5797	847	1.122	10	1340	0.099
802	301	4	2	3	4	0	2317	402	8788	786	1.025	10	1341	0.002
791	301	4	2	2	4	0	2440	397	9140	765	1.012	10	1341	-0.011
779	301	4	2	1	4	0	2450	398	9065	753	1.023	10	1341	0
316	300	2	2	5	4	0	2016	406	8768	1029	0.987	10	1364	-0.036
305	300	2	2	4	4	0	2106	403	9502	1056	0.995	10	1364	-0.028
327	300	2	2	6	4	0	2049	405	8558	952	0.992	10	1364	-0.031
562	300	3	2	4	4	0	1853	401	8058	1011	0.973	10	1356	-0.05
583	300	3	2	6	4	0	1866	405	8089	1049	0.973	10	1356	-0.05
573	300	3	2	5	4	0	1845	401	8051	1044	0.982	10	1356	-0.041
722	544	3	3	19	3	0	1968	408	7529	767	1.086	10	1343	0.063
744	544	3	3	21	3	0	1876	395	7249	743	1.095	10	1343	0.072
733	544	3	3	20	3	0	1910	398	7274	767	1.084	10	1343	0.061
